term_name,source,p_values,significant,intersection_sizes,direction
hepatocyte differentiation,GO:BP,0.0393475002775894,TRUE,2,Up-regulated
negative regulation of mitochondrial depolarization,GO:BP,0.0394204633574642,TRUE,1,Up-regulated
protein heterotrimerization,GO:BP,0.0395166220108223,TRUE,1,Up-regulated
regulation of neutrophil mediated killing of symbiont cell,GO:BP,0.0395301251020647,TRUE,1,Up-regulated
positive regulation of killing of cells of another organism,GO:BP,0.0395301251020647,TRUE,1,Up-regulated
modification-dependent macromolecule catabolic process,GO:BP,0.0395814351889,TRUE,4,Up-regulated
membrane protein ectodomain proteolysis,GO:BP,0.0395814351889,TRUE,3,Up-regulated
humoral immune response mediated by circulating immunoglobulin,GO:BP,0.0397371723893756,TRUE,2,Up-regulated
regulation of stress-activated protein kinase signaling cascade,GO:BP,0.0397371723893756,TRUE,2,Up-regulated
negative regulation of chronic inflammatory response to antigenic stimulus,GO:BP,0.039850281947089,TRUE,1,Up-regulated
regulation of apoptotic signaling pathway,GO:BP,0.0399081682205532,TRUE,10,Up-regulated
bone mineralization,GO:BP,0.0400082742946573,TRUE,5,Up-regulated
mitotic DNA replication preinitiation complex assembly,GO:BP,0.0401450110228481,TRUE,1,Up-regulated
neutrophil activation involved in immune response,GO:BP,0.040416980584195,TRUE,2,Up-regulated
regulation of body fluid levels,GO:BP,0.040556015118235,TRUE,6,Up-regulated
monoatomic ion homeostasis,GO:BP,0.040556015118235,TRUE,10,Up-regulated
blood vessel remodeling,GO:BP,0.040556015118235,TRUE,3,Up-regulated
inorganic ion homeostasis,GO:BP,0.0409724868318798,TRUE,9,Up-regulated
septin ring assembly,GO:BP,0.0413682502418247,TRUE,1,Up-regulated
cholesterol transport,GO:BP,0.0415591162188815,TRUE,4,Up-regulated
positive regulation of T cell cytokine production,GO:BP,0.0415591162188815,TRUE,1,Up-regulated
monoatomic ion transmembrane transporter activity,GO:MF,0.0416141899150227,TRUE,2,Down-regulated
deaminase activity,GO:MF,0.0416576011834854,TRUE,3,Up-regulated
lysosomal membrane organization,GO:BP,0.0417233580900879,TRUE,2,Up-regulated
metalloendopeptidase activity,GO:MF,0.0418008551784137,TRUE,2,Up-regulated
metalloendopeptidase activity,GO:MF,0.0419036507559974,TRUE,2,Down-regulated
dCMP kinase activity,GO:MF,0.0418008551784137,TRUE,1,Up-regulated
CMP kinase activity,GO:MF,0.0418008551784137,TRUE,1,Up-regulated
receptor ligand activity,GO:MF,0.0418008551784137,TRUE,10,Up-regulated
female meiotic nuclear division,GO:BP,0.0418177965546407,TRUE,3,Up-regulated
negative regulation of myoblast fusion,GO:BP,0.0418563755303831,TRUE,1,Up-regulated
presynaptic endocytosis,GO:BP,0.0420036410336653,TRUE,2,Up-regulated
neuron projection retraction,GO:BP,0.0421696578540415,TRUE,1,Up-regulated
negative regulation of glutamate receptor signaling pathway,GO:BP,0.0421696578540415,TRUE,1,Up-regulated
cell differentiation,GO:BP,0.0422197175016622,TRUE,66,Up-regulated
positive regulation of hematopoietic stem cell differentiation,GO:BP,0.0422197175016622,TRUE,1,Up-regulated
cellular homeostasis,GO:BP,0.0422443362993957,TRUE,13,Up-regulated
argininosuccinate metabolic process,GO:BP,0.0422919613849212,TRUE,1,Up-regulated
cellular developmental process,GO:BP,0.0422919613849212,TRUE,66,Up-regulated
synaptic vesicle exocytosis,GO:BP,0.0423089026058209,TRUE,1,Up-regulated
nucleoside monophosphate phosphorylation,GO:BP,0.0426037012102431,TRUE,1,Up-regulated
transepithelial transport,GO:BP,0.0427943835311925,TRUE,3,Up-regulated
cell junction disassembly,GO:BP,0.0427943835311925,TRUE,2,Up-regulated
regulation of hepatocyte growth factor production,GO:BP,0.0429323447947494,TRUE,1,Up-regulated
hepatocyte growth factor production,GO:BP,0.0429323447947494,TRUE,1,Up-regulated
regulation of hematopoietic stem cell differentiation,GO:BP,0.0429323447947494,TRUE,2,Up-regulated
negative regulation of membrane depolarization,GO:BP,0.0429323447947494,TRUE,1,Up-regulated
negative regulation of coagulation,GO:BP,0.0429323447947494,TRUE,2,Up-regulated
collagen fibril organization,GO:BP,0.0429323447947494,TRUE,1,Up-regulated
positive regulation of glycolytic process,GO:BP,0.0429323447947494,TRUE,2,Up-regulated
aggregation of unicellular organisms,GO:BP,0.0429323447947494,TRUE,1,Up-regulated
single-species biofilm formation,GO:BP,0.0429323447947494,TRUE,1,Up-regulated
positive regulation of DNA-templated DNA replication,GO:BP,0.0429323447947494,TRUE,2,Up-regulated
positive regulation of bone mineralization,GO:BP,0.0429323447947494,TRUE,3,Up-regulated
positive regulation of receptor catabolic process,GO:BP,0.0429323447947494,TRUE,1,Up-regulated
positive regulation of tumor necrosis factor-mediated signaling pathway,GO:BP,0.0429323447947494,TRUE,1,Up-regulated
single-species biofilm formation in or on host organism,GO:BP,0.0429323447947494,TRUE,1,Up-regulated
positive regulation of secretion,GO:BP,0.0429323447947494,TRUE,9,Up-regulated
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,GO:BP,0.0429323447947494,TRUE,7,Up-regulated
regulation of single-species biofilm formation,GO:BP,0.0429323447947494,TRUE,1,Up-regulated
biofilm formation,GO:BP,0.0429323447947494,TRUE,1,Up-regulated
regulation of single-species biofilm formation in or on host organism,GO:BP,0.0429323447947494,TRUE,1,Up-regulated
negative regulation of single-species biofilm formation,GO:BP,0.0429323447947494,TRUE,1,Up-regulated
positive regulation of nucleotide catabolic process,GO:BP,0.0429323447947494,TRUE,2,Up-regulated
negative regulation of lymphocyte migration,GO:BP,0.0429323447947494,TRUE,1,Up-regulated
regulation of neurotransmitter transport,GO:BP,0.0429323447947494,TRUE,1,Up-regulated
negative regulation of hepatocyte growth factor production,GO:BP,0.0429323447947494,TRUE,1,Up-regulated
regulation of osteoclast differentiation,GO:BP,0.0429323447947494,TRUE,3,Up-regulated
negative regulation of single-species biofilm formation in or on host organism,GO:BP,0.0429323447947494,TRUE,1,Up-regulated
positive regulation of purine nucleotide catabolic process,GO:BP,0.0429323447947494,TRUE,2,Up-regulated
T cell extravasation,GO:BP,0.0429323447947494,TRUE,1,Up-regulated
regulation of lymphocyte migration,GO:BP,0.0432497438828272,TRUE,3,Up-regulated
neuroinflammatory response,GO:BP,0.0433606015152238,TRUE,4,Up-regulated
regulation of establishment of protein localization,GO:BP,0.0433606015152238,TRUE,2,Up-regulated
negative regulation of glial cell differentiation,GO:BP,0.0434750640638611,TRUE,1,Up-regulated
negative regulation of binding,GO:BP,0.0435262611059025,TRUE,3,Up-regulated
base conversion or substitution editing,GO:BP,0.0437867563404656,TRUE,2,Up-regulated
spindle midzone assembly,GO:BP,0.0439545961451988,TRUE,2,Up-regulated
spindle elongation,GO:BP,0.0439545961451988,TRUE,2,Up-regulated
regulation of leukocyte cell-cell adhesion,GO:BP,0.0439768533801331,TRUE,9,Up-regulated
positive regulation of extracellular exosome assembly,GO:BP,0.0439768533801331,TRUE,1,Up-regulated
myoblast development,GO:BP,0.0439768533801331,TRUE,1,Up-regulated
positive regulation of secretion by cell,GO:BP,0.0443850930426973,TRUE,6,Up-regulated
glial cell apoptotic process,GO:BP,0.0446473364164936,TRUE,1,Up-regulated
nitric-oxide synthase binding,GO:MF,0.0447759950277752,TRUE,2,Up-regulated
signaling receptor activator activity,GO:MF,0.0447759950277752,TRUE,10,Up-regulated
parturition,GO:BP,0.0447985295667514,TRUE,1,Up-regulated
negative regulation of cellular response to growth factor stimulus,GO:BP,0.0448534335785006,TRUE,4,Up-regulated
cell cycle DNA replication,GO:BP,0.0448534335785006,TRUE,3,Up-regulated
meiotic spindle assembly,GO:BP,0.0450839449089032,TRUE,2,Up-regulated
regulation of MHC class II biosynthetic process,GO:BP,0.0450839449089032,TRUE,2,Up-regulated
homeostatic process,GO:BP,0.0455923500461727,TRUE,31,Up-regulated
negative regulation of protein catabolic process,GO:BP,0.0456681314354988,TRUE,3,Up-regulated
negative regulation of interleukin-1 alpha production,GO:BP,0.0459438381167712,TRUE,1,Up-regulated
nicotinamide N-methyltransferase activity,GO:MF,0.0459982981556025,TRUE,1,Up-regulated
interleukin-1 binding,GO:MF,0.0459982981556025,TRUE,2,Up-regulated
pyridine N-methyltransferase activity,GO:MF,0.0459982981556025,TRUE,1,Up-regulated
toxic substance binding,GO:MF,0.0459982981556025,TRUE,2,Up-regulated
GTP 3',8'-cyclase activity,GO:MF,0.0459982981556025,TRUE,1,Up-regulated
cyclic pyranopterin monophosphate synthase activity,GO:MF,0.0459982981556025,TRUE,1,Up-regulated
regulation of non-canonical Wnt signaling pathway,GO:BP,0.0460898844943921,TRUE,2,Up-regulated
regulated exocytosis,GO:BP,0.0464971778703072,TRUE,6,Up-regulated
synaptic vesicle recycling,GO:BP,0.0464971778703072,TRUE,2,Up-regulated
stem cell differentiation,GO:BP,0.0464971778703072,TRUE,4,Up-regulated
transepithelial ammonium transport,GO:BP,0.0464971778703072,TRUE,1,Up-regulated
nitrogen cycle metabolic process,GO:BP,0.0468003815319445,TRUE,2,Up-regulated
regulation of intracellular sterol transport,GO:BP,0.0469397728514172,TRUE,1,Up-regulated
regulation of intracellular cholesterol transport,GO:BP,0.0469397728514172,TRUE,1,Up-regulated
negative regulation of low-density lipoprotein particle clearance,GO:BP,0.0469397728514172,TRUE,1,Up-regulated
positive regulation of neuroinflammatory response,GO:BP,0.0469397728514172,TRUE,1,Up-regulated
glial cell migration,GO:BP,0.0469810397799521,TRUE,3,Up-regulated
positive regulation of cellular respiration,GO:BP,0.0470777670761559,TRUE,2,Up-regulated
embryonic placenta development,GO:BP,0.0472160469602033,TRUE,4,Up-regulated
siderophore transport,GO:BP,0.047379713986272,TRUE,1,Up-regulated
positive regulation of meiotic cell cycle,GO:BP,0.0474060603552103,TRUE,2,Up-regulated
negative regulation of T-helper 2 cell cytokine production,GO:BP,0.0474060603552103,TRUE,1,Up-regulated
regulation of killing of cells of another organism,GO:BP,0.0474060603552103,TRUE,1,Up-regulated
myoblast differentiation involved in skeletal muscle regeneration,GO:BP,0.0474241100306512,TRUE,1,Up-regulated
positive regulation of synaptic vesicle endocytosis,GO:BP,0.0476743331246465,TRUE,1,Up-regulated
circulatory system development,GO:BP,0.0477492636585983,TRUE,18,Up-regulated
ossification involved in bone maturation,GO:BP,0.0478597483746845,TRUE,2,Up-regulated
negative regulation of bone resorption,GO:BP,0.0480761517636496,TRUE,2,Up-regulated
regulation of mononuclear cell migration,GO:BP,0.0482459565960256,TRUE,4,Up-regulated
insulin-like growth factor I binding,GO:MF,0.0482611277656887,TRUE,1,Down-regulated
release of cytochrome c from mitochondria,GO:BP,0.0485556249487776,TRUE,3,Up-regulated
response to growth hormone,GO:BP,0.0485556249487776,TRUE,3,Up-regulated
MHC class II biosynthetic process,GO:BP,0.0486246141683826,TRUE,2,Up-regulated
response to wounding,GO:BP,0.0486358507641634,TRUE,13,Up-regulated
nucleoside diphosphate biosynthetic process,GO:BP,0.0489404247254149,TRUE,1,Up-regulated
ribonucleoside diphosphate metabolic process,GO:BP,0.0490771737092267,TRUE,4,Up-regulated
negative regulation of hydrogen peroxide catabolic process,GO:BP,0.0490771737092267,TRUE,1,Up-regulated
regulation of BMP signaling pathway,GO:BP,0.0490771737092267,TRUE,4,Up-regulated
gonadotropin secretion,GO:BP,0.0490771737092267,TRUE,2,Up-regulated
ovulation,GO:BP,0.0490771737092267,TRUE,2,Up-regulated
regulation of adaptive immune response,GO:BP,0.0491455387571829,TRUE,6,Up-regulated
positive regulation of protein deacetylation,GO:BP,0.0492309322025987,TRUE,1,Up-regulated
peptide transport,GO:BP,0.0493091282386782,TRUE,8,Up-regulated
negative regulation of leukocyte cell-cell adhesion,GO:BP,0.0494299017808921,TRUE,5,Up-regulated
response to insulin,GO:BP,0.0494662020608793,TRUE,8,Up-regulated
positive regulation of DNA topoisomerase (ATP-hydrolyzing) activity,GO:BP,0.0494662020608793,TRUE,1,Up-regulated
sterol transport,GO:BP,0.0494662020608793,TRUE,4,Up-regulated
regulation of intracellular transport,GO:BP,0.0494662020608793,TRUE,1,Up-regulated
phosphatidylserine biosynthetic process,GO:BP,0.0494662020608793,TRUE,1,Up-regulated
positive regulation of erythrocyte differentiation,GO:BP,0.0498055868426916,TRUE,2,Up-regulated
regulation of vascular permeability involved in acute inflammatory response,GO:BP,0.049869822607991,TRUE,1,Up-regulated
negative regulation of syncytium formation by plasma membrane fusion,GO:BP,0.049869822607991,TRUE,1,Up-regulated
