gene_name,log2FoldChange,lfcSE,padj,pvalue,expression
DEPDC1,1.3391578581734,0.163713280059999,1.21962392794251e-14,1.08292476080684e-16,Up-regulated
LIPM,1.39438755628519,0.171696463336367,1.83161742617742e-14,1.67561413214947e-16,Up-regulated
RUFY4,1.02376591478992,0.124636372089659,2.06700381425392e-14,1.92791102451886e-16,Up-regulated
OLR1,1.82266285018927,0.216338332656847,2.22645561370564e-14,2.08836538567532e-16,Up-regulated
CDC25A,1.31969747882422,0.162437926312931,3.08085949648366e-14,2.98718526296566e-16,Up-regulated
DAAM2,2.77389717852631,0.314079863902558,4.93873851489098e-14,4.98376153028204e-16,Up-regulated
C1QC,1.71586520308826,0.207903881976438,6.03633672969367e-14,6.13907882610992e-16,Up-regulated
MKI67,1.03419595492678,0.129292355187322,6.07315236916529e-14,6.20852378994608e-16,Up-regulated
CDC6,1.07590631639459,0.134194844299386,6.11746589705643e-14,6.26994317846591e-16,Up-regulated
PBK,1.58803562358266,0.198633889948807,7.0752230364436e-14,7.34478019802598e-16,Up-regulated
OLFM4,2.55586760935565,0.298631885899202,9.23321599914776e-14,9.73095431221769e-16,Up-regulated
SPC25,1.4496471730541,0.18292278435644,9.59152812305467e-14,1.02602108287933e-15,Up-regulated
CLEC4D,1.06147161984936,0.133577057314577,9.76908009152722e-14,1.04758802688823e-15,Up-regulated
ARG1,1.69452796738429,0.2081296191301,1.06461640651492e-13,1.15566728008681e-15,Up-regulated
C1QB,1.43142135551777,0.179014014980967,2.28708743849661e-13,2.7056496281946e-15,Up-regulated
ACOXL,1.02252994760605,0.132742721896577,2.44505159336121e-13,2.90540725247907e-15,Up-regulated
ANXA3,1.23067026784641,0.156171199190951,3.11813825423318e-13,3.81202547811612e-15,Up-regulated
RNASE1,1.74783662862642,0.224227439055211,5.26915194332599e-13,6.73325260186832e-15,Up-regulated
S100A8,1.04855444817165,0.137410790631058,8.20026087936084e-13,1.09541346520418e-14,Up-regulated
GDF15,1.02626776503071,0.137612053378666,1.06614465772043e-12,1.45789396995548e-14,Up-regulated
BIRC5,1.17145166132159,0.155648583970285,1.49643495230291e-12,2.14486118473095e-14,Up-regulated
SLC1A3,1.03651538129284,0.140485304208796,2.88253751608145e-12,4.48094307447978e-14,Up-regulated
KIF4A,1.03537207962298,0.142449372467065,3.9411501256819e-12,6.39655498081901e-14,Up-regulated
TMEM119,1.07567205622361,0.14725991105045,6.34322500624625e-12,1.06795615191847e-13,Up-regulated
SKA1,1.05436940429137,0.145218280202543,6.90328221142822e-12,1.17316146555599e-13,Up-regulated
PHLDA3,1.01782494789662,0.141478421075664,8.45436047212415e-12,1.470168601887e-13,Up-regulated
HP,1.32902055241281,0.18144882028951,9.57209505969143e-12,1.69732306876017e-13,Up-regulated
LCN2,1.52769632230063,0.207132625380347,9.98185827879992e-12,1.78050220128249e-13,Up-regulated
E2F7,1.07105706988647,0.14941866899033,1.02521219466356e-11,1.8341125577714e-13,Up-regulated
DUSP13B,1.51863672524966,0.208797275148137,1.21676219530516e-11,2.20885585857949e-13,Up-regulated
TMPRSS2,1.88728193322834,0.269393621954313,1.34382735928691e-11,2.45368698947629e-13,Up-regulated
MCM10,1.11072005212824,0.155623276806919,1.34833712029968e-11,2.4654738933656e-13,Up-regulated
GPR84,1.00874978888966,0.140338143519303,1.41216158474818e-11,2.60078238852025e-13,Up-regulated
HMMR,1.0671659740313,0.150267669791062,1.53065644231785e-11,2.84724521335406e-13,Up-regulated
PLSCR4,1.14738564657745,0.164480694526879,2.88198964416885e-11,5.62669106373272e-13,Up-regulated
CAMP,1.39819608410812,0.195211481140476,3.3827449984517e-11,6.69347497981036e-13,Up-regulated
CDC45,1.13098141874761,0.161274749775797,3.40812313212151e-11,6.77062981930657e-13,Up-regulated
PXT1,1.05862544727474,0.156045919881543,3.8199939042498e-11,7.70963621925317e-13,Up-regulated
C15orf48,1.19122361196107,0.17254775387137,4.97852291788622e-11,1.03101623371939e-12,Up-regulated
CRISP3,1.53741381036857,0.217462913873663,5.43728713458556e-11,1.13605119295103e-12,Up-regulated
CXCL11,1.66147153885656,0.242963574727353,8.65028324794244e-11,1.88257732065143e-12,Up-regulated
IL1R2,1.37687899615119,0.196737742388359,8.94983280064125e-11,1.95484307101533e-12,Up-regulated
ANKRD45,3.5045211921049,0.510539786138486,1.02740892453052e-10,2.27657402521519e-12,Up-regulated
