gene_name,log2FoldChange,lfcSE,padj,pvalue,expression
CAV1,1.27207490862544,0.189035887737279,2.10166812043655e-10,4.97813047444923e-12,Up-regulated
GRB10,1.08916015141833,0.162031229033023,2.8171278374673e-10,6.9014498783546e-12,Up-regulated
NALF2,1.51100430123048,0.231187019466369,3.00979124356334e-10,7.44539089287992e-12,Up-regulated
GLDN,1.66545642068588,0.250457933981304,3.35892797585846e-10,8.3986474392414e-12,Up-regulated
IQGAP3,1.20931029227511,0.18260613941761,3.66573324469884e-10,9.29134052115793e-12,Up-regulated
ZNF608,1.07022327899569,0.161737709903706,3.68331973128928e-10,9.35532544913017e-12,Up-regulated
GPR15,1.02164032953586,0.153699450399883,3.69853225093744e-10,9.40370875837758e-12,Up-regulated
IL10,1.13911226059832,0.173710320814135,4.48471075392083e-10,1.16971589146923e-11,Up-regulated
RPH3A,1.45568111623823,0.219500333710657,6.45503726528522e-10,1.76546417328139e-11,Up-regulated
OVOL1,2.05648194618793,0.329447639782811,8.63512238594789e-10,2.43896590550038e-11,Up-regulated
TMEM52B,1.6012867663108,0.248568488611476,8.93324062687582e-10,2.53493706991233e-11,Up-regulated
MPO,1.30538096298628,0.200161405370698,1.03270091720521e-09,2.98216194158797e-11,Up-regulated
CCL8,1.85840480127299,0.28711640510536,1.14818621449767e-09,3.36705289754941e-11,Up-regulated
GSDMC,1.28480359564399,0.206382724063234,1.38858301455402e-09,4.17811509358879e-11,Up-regulated
IGFL2,1.74782550493977,0.282631583956034,1.40085493162405e-09,4.22611291750418e-11,Up-regulated
MND1,1.13209558778643,0.181369277424844,1.44354667776855e-09,4.37011944131334e-11,Up-regulated
CEACAM8,1.59580926895474,0.244432497848491,1.55949582111219e-09,4.76222705556471e-11,Up-regulated
BPI,1.25794953273598,0.195507420655913,1.58460946609546e-09,4.84726666527067e-11,Up-regulated
CEACAM6,1.45206098027262,0.225521030583479,1.87082611081014e-09,5.87559868284156e-11,Up-regulated
OR2B6,1.06707841691422,0.169313712999236,1.91514938740076e-09,6.02994023803527e-11,Up-regulated
INHBA,1.38124216897912,0.220605841973635,2.86645406568941e-09,9.50852523766391e-11,Up-regulated
CTSG,1.69537593041284,0.268437573212575,3.41700201791854e-09,1.16048785400669e-10,Up-regulated
SDC1,1.72807509185473,0.276997278259558,3.68018125658849e-09,1.25770435446882e-10,Up-regulated
NOS1AP,1.12593450386037,0.18563978025401,4.6169842541843e-09,1.61984262556343e-10,Up-regulated
MAOA,1.74677860054956,0.280572417759261,4.78723355696588e-09,1.68260777915173e-10,Up-regulated
UCHL1,1.79810806220744,0.298355845991142,9.12347025804606e-09,3.44599659471864e-10,Up-regulated
DEFA1,1.76460810165026,0.285079867270988,1.22632282294705e-08,4.77876233108152e-10,Up-regulated
TPST1,1.05798645986697,0.177044588236854,1.45370818359781e-08,5.77591806098303e-10,Up-regulated
IFIT1B,1.39017065150012,0.230591628792873,1.62314404429011e-08,6.51327496299163e-10,Up-regulated
DEFA4,1.77732500204159,0.290383231405536,1.76932238463183e-08,7.1791022615087e-10,Up-regulated
DEFA3,1.74486363881494,0.291164596503823,2.65551025814619e-08,1.14745134198234e-09,Up-regulated
SLC22A31,1.17176221277311,0.203121351007303,2.89866607154258e-08,1.26321169898599e-09,Up-regulated
MOCS1,1.52323737365802,0.258211212554405,3.18650266680223e-08,1.41047701960999e-09,Up-regulated
CA1,1.48072440724063,0.249902228318674,3.50534374992488e-08,1.56915714578763e-09,Up-regulated
LTF,1.41980181338616,0.24016511035301,3.58702579171106e-08,1.61139246847957e-09,Up-regulated
NUPR1,1.04622553727936,0.18617804229432,4.18953758942849e-08,1.91194925092306e-09,Up-regulated
