gene_name,log2FoldChange,padj,direction,source
SUCNR1,1.17134701299353,1.00499559715046e-15,Up-regulated,IRF1
NOS1AP,1.12593450386037,4.6169842541843e-09,Up-regulated,IRF1
SAMD9,1.12026481087023,1.95485340917388e-25,Up-regulated,IRF1
NRIR,2.22558450121788,6.55067465773718e-23,Up-regulated,IRF1
LINC01305,1.22302109418377,4.98826145834465e-08,Up-regulated,IRF1
MIR3945HG,1.12389641776643,4.45552858009998e-14,Up-regulated,IRF1
LINC01485,1.21389074530099,1.3283582198748e-11,Up-regulated,IRF1
TMEM178B,1.77951115783143,1.42412785319396e-24,Up-regulated,IRF1
ETV7,1.54298850976076,1.00543046564162e-16,Up-regulated,ETV6
EIF2AK2,1.59271783000146,7.69613765994664e-31,Up-regulated,ETV6
PARP12,1.04560023116472,2.92968216441302e-22,Up-regulated,ETV6
CLDN18,1.00278138326356,0.000327010509225771,Up-regulated,ETV6
IFI35,1.08403339254851,1.13358938423177e-20,Up-regulated,ETV6
LAMP3,1.65969754900599,1.29387783258024e-20,Up-regulated,ETV6
CEACAM1,1.17751691709516,5.54743284799181e-19,Up-regulated,ETV6
CHMP5,1.05903588035494,6.22427545327004e-24,Up-regulated,ETV6
CEACAM6,1.45206098027262,1.87082611081014e-09,Up-regulated,ETV6
OAS1,2.02707872725152,2.52392275465891e-26,Up-regulated,ETV6
CAV1,1.27207490862544,2.10166812043655e-10,Up-regulated,ETV6
DHX58,1.08696066231358,1.89182322058877e-19,Up-regulated,ETV6
OAS3,2.27831111279212,1.16963690245986e-23,Up-regulated,ETV6
OAS2,1.8664603205396,2.11401922753326e-25,Up-regulated,ETV6
IFIH1,1.33850850992991,1.44425093977836e-30,Up-regulated,ETV6
ZNF684,1.02343260037043,5.45530872972871e-17,Up-regulated,ETV6
GBP1,1.10655840469281,6.26347429594725e-21,Up-regulated,ETV6
IFIT3,2.23080941615439,1.19275115033254e-28,Up-regulated,ETV6
IFIT2,1.75427005442142,5.80713564459244e-28,Up-regulated,ETV6
ZBP1,1.28402643876687,2.67439647588396e-24,Up-regulated,ETV6
MT2A,1.20394961634382,9.78820712421442e-16,Up-regulated,ETV6
IFI6,2.1351268048688,6.15987356216978e-27,Up-regulated,ETV6
HELZ2,1.02351440519534,1.13179090467602e-16,Up-regulated,ETV6
TOP2A,1.16842529894688,1.89617712199957e-20,Up-regulated,ETV6
TRIM22,1.17846825194995,2.65814136646483e-27,Up-regulated,ETV6
XAF1,1.76404566993268,1.22815830285464e-27,Up-regulated,ETV6
CCNA1,1.03244697293703,9.53739201544119e-08,Up-regulated,ETV6
EPSTI1,2.09270204222659,3.87345589917604e-30,Up-regulated,ETV6
EPHB2,1.44690974592602,1.10150849410764e-19,Up-regulated,ETV6
CMPK2,2.36415717731566,2.31238690113774e-25,Up-regulated,ETV6
RTP4,1.6077962210579,1.06479160777988e-24,Up-regulated,ETV6
IL10,1.13911226059832,4.48471075392083e-10,Up-regulated,ETV6
IL1RN,1.05385952978509,3.81085774995458e-21,Up-regulated,ETV6
DDX60,1.77107586628684,1.07246151447533e-30,Up-regulated,ETV6
IFI44L,3.18736428893,8.71648995072307e-26,Up-regulated,ETV6
PARP9,1.18261163796225,9.49384614374972e-29,Up-regulated,ETV6
HERC6,1.47449958301256,5.67952217030984e-27,Up-regulated,ETV6
HERC5,2.1513499342013,8.22311428607812e-29,Up-regulated,ETV6
