,BCL11A_(+),BHLHE40_(+),E2F1_(+),E2F7_(+),E2F8_(+),EBF1_(+),EP300_(+),ESRRA_(+),ETV6_(+),GABPA_(+),GATA1_(+),GATA2_(+),HIC1_(+),IRF1_(+),IRF2_(+),IRF4_(+),MAZ_(+),MYBL2_(+),MYC_(+),NFIL3_(+),PAX5_(+),RFX5_(+),SOX6_(+),SREBF2_(+),STAT3_(+),TBX21_(+),VEZF1_(+),ZHX2_(+),ZNF148_(+),ZNF549_(+)
SRR14694915,0.03997146199437465,0.0,0.002387799752927455,0.01090164263266634,0.018241692369476863,0.03424511486501288,0.3806894583940875,0.023464417422681967,0.16648464206153374,0.016179696756801316,0.044484657420296655,0.012950290436621159,0.0,0.1512177680913301,0.17583195734958112,0.07817033057585282,0.038574176686662805,0.016121725398299994,0.06904525955041997,0.18203728494637944,0.04346776388394959,0.18965709156025015,0.0529921772024612,0.0,0.19972673669783028,0.05519751723124424,0.1436664282526011,0.06271143661772259,0.12834653941540042,0.026888631326689956
SRR14694916,0.028891129355944106,0.0,0.0010860173575061617,0.007373084514522569,0.013245193038612095,0.021452971376370183,0.40241519117678987,0.02708698963541839,0.1921731416277224,0.010540385466407957,0.0448857463375645,0.013856433207696693,0.0,0.1577396815801283,0.1856641584158416,0.027368392310520327,0.037682081943677996,0.006217678680770335,0.046849544773051074,0.2246835274830497,0.022462332175639213,0.1278459036327042,0.05362682465853085,0.0,0.24498984306578545,0.07658538138240173,0.1433904359828655,0.06918737490922616,0.11963670733850855,0.022817541677571253
SRR14694917,0.02979399347118345,0.0,0.003401895431128573,0.011321592402036586,0.014899828373199003,0.019531665371191588,0.2737931465317293,0.033668574507546546,0.17465552826261282,0.007238825038214023,0.054806892253469915,0.015989644314603674,0.0,0.15575540040447106,0.17569785224676313,0.030020878577565236,0.04160729881281113,0.009779758581381156,0.07099786752945897,0.20473803266514246,0.025118525927072723,0.12529140617136736,0.057199010108206536,0.0,0.2296005248210963,0.08321099668495277,0.09921860076260697,0.07057112240741069,0.07742683065534889,0.023269696265710647
SRR14694918,0.03146072648314166,0.0,0.004689293490688857,0.01519850843530923,0.01566785230842619,0.02518027384546946,0.2421845889784307,0.033610705941847875,0.2111980830357644,0.00280940235194142,0.0574188759817174,0.014498284337208529,0.0,0.1671875739492005,0.20991762376237624,0.030340249626262736,0.03871691184554037,0.012521416240709656,0.06859579700468545,0.18557237654895176,0.03597240905363488,0.16430526417115854,0.058611322042799986,0.0,0.2279174435523958,0.07810162529509701,0.0883038340454904,0.0981353725712464,0.07162316962067479,0.023465301136294792
SRR14694919,0.036803437668451976,0.0,0.0010716330216451533,0.011528001637887765,0.01565870916634015,0.029913661556242675,0.4243212480732568,0.02272209232158076,0.15197633137725566,0.015092847671743688,0.043584038694432864,0.015687596724245162,0.0,0.14515961096009178,0.17393590251332824,0.027738960244886892,0.032151094537172235,0.005995363497164212,0.07168407092524788,0.17293815431086784,0.03491794374498065,0.16014131102441087,0.05613915450792782,0.0,0.21576688103493671,0.08036439337792535,0.1481047035952752,0.09685402238792752,0.1384995749446193,0.02813862124270201
SRR14694920,0.036737871292626935,0.0,0.004851117269125206,0.01633031310261208,0.015696922032600067,0.02430920610270301,0.18684546666507165,0.037299827005137766,0.1433376847858932,0.010212280082239615,0.05705269717609163,0.013724287386914844,0.005409311405948807,0.14702810550185366,0.16057693830921554,0.029291932443515207,0.052990427733297187,0.013892589478094445,0.07523072491455704,0.13840997950550482,0.041738093920840665,0.19089059996983646,0.06316458316810962,0.0,0.18443724118018728,0.06832594461035944,0.09488010724052956,0.03536858605359641,0.07103327964708077,0.021768676288701817
SRR3362713,0.0383312854264613,0.0,0.00416786131572729,0.009882584179889414,0.013521127599109005,0.032216934164548086,0.18456062279606936,0.052715369923198765,0.1743271154152252,0.00233775086219943,0.08461139636820889,0.0106094216113427,0.0,0.13809275524861184,0.15836325971058646,0.028589803725768026,0.04214255565860201,0.010128213092633663,0.0642107989226314,0.17525640899084924,0.04822649878318638,0.22303142687198385,0.08870977434317567,0.0091770377375861,0.1631656172091216,0.11364476082138775,0.08711768749297498,0.07444561540232736,0.07358841600719836,0.023479606518381255
SRR3362715,0.03655741943060785,0.1282212892460138,0.008925480401755939,0.030334548296633776,0.03618749322048165,0.0406316324473094,0.20837403917596756,0.04123456798061532,0.07537345167998065,0.009904681284581794,0.053551918875944717,0.0037944728538787946,0.021382689792927043,0.08209868908160148,0.06372703731911653,0.09871027731158814,0.04338824431789715,0.02543679186274767,0.0986446314931514,0.15304239604112266,0.045006814673487716,0.0994792863711744,0.053312985934336116,0.029697948662152775,0.1049808375409423,0.11042297579571343,0.05859859760622864,0.09084302325581396,0.0569829163261848,0.032179075164886675
SRR3362717,0.0171698407207166,0.0,0.006791384372577026,0.019565332666470682,0.0209539249731986,0.013986933424200477,0.2856059266820762,0.03470763675386924,0.2902015673603849,0.0,0.054810458737957285,0.013724287386914844,0.04905195060248301,0.22132926608587752,0.27179722772277226,0.026256688507420627,0.044069480303449184,0.016193663560926996,0.03631225063528143,0.25850400056494643,0.01787530159183491,0.04930521870630867,0.058690968508940164,0.0,0.2685000736517629,0.040120235182841635,0.09511535665834572,0.0876742414849714,0.0694737248433397,0.008172096489998138
SRR3362719,0.05026296377832989,0.0,0.003304801164066764,0.009447335984237205,0.011919103301375977,0.04091639844389485,0.18664874945005572,0.03148210720023198,0.17240593206041374,0.005372725665756585,0.0852276138539128,0.015555450903463316,0.0,0.1330483608714356,0.15456737242955065,0.051157878518079326,0.04160729881281113,0.008741197100104214,0.07184375274492505,0.17624924161255762,0.06457314515094792,0.2380843683380277,0.09167466490746183,0.0,0.19855916124490586,0.05621428315096548,0.0847288396225857,0.06924272480915354,0.06108020324950235,0.01906639614470606
